Date,Unemployment.Rate,Date.FX,AUDUSD,Date.Bulk,Bulk.USD
15-May,0.061,29-May-15,0.7663,May-15,114.1
15-Jun,0.0612,30-Jun-15,0.768,Jun-15,115.4
15-Jul,0.0613,31-Jul-15,0.7294,Jul-15,106.3
15-Aug,0.0611,31-Aug-15,0.7149,Aug-15,106.6
15-Sep,0.0607,30-Sep-15,0.701,Sep-15,106.2
15-Oct,0.06,30-Oct-15,0.7099,Oct-15,103.2
15-Nov,0.0592,30-Nov-15,0.7189,Nov-15,95.5
15-Dec,0.0585,31-Dec-15,0.7306,Dec-15,88.3
16-Jan,0.0579,29-Jan-16,0.71,Jan-16,87.7
16-Feb,0.0576,29-Feb-16,0.714,Feb-16,92.3
16-Mar,0.0574,31-Mar-16,0.7657,Mar-16,100.9
16-Apr,0.0572,29-Apr-16,0.7655,Apr-16,106.3
16-May,0.0571,31-May-16,0.7242,May-16,105.5
16-Jun,0.057,30-Jun-16,0.7426,Jun-16,101.1
16-Jul,0.0569,29-Jul-16,0.7522,Jul-16,106.7
16-Aug,0.0568,31-Aug-16,0.7514,Aug-16,113.3
16-Sep,0.0567,30-Sep-16,0.763,Sep-16,117.5
16-Oct,0.0568,31-Oct-16,0.7613,Oct-16,130.5
16-Nov,0.057,30-Nov-16,0.7474,Nov-16,160.5
16-Dec,0.0574,30-Dec-16,0.7236,Dec-16,173.5
17-Jan,0.0579,31-Jan-17,0.7567,Jan-17,178.3
17-Feb,0.0583,28-Feb-17,0.7688,Feb-17,180.0
17-Mar,0.0586,31-Mar-17,0.7644,Mar-17,180.2
